,Book_Title,Author,Publisher,Published_Date,ISBN_10,ISBN_13,Page_Count,Average_Rating,Rating_Count,Sale_Country,Sale_Amount,Sale_Currency
249,Heidi,['Johanna Spyri'],,1916,1631062484,9781631062483,240,2.5,7,US,,
250,Heidi,['Johanna Spyri'],,2016-09,1548497770,9781548497774,296,,,,,
251,Heidi by Johanna Spyri Unabridged 1881 Original Version,['Johanna Spyri'],,2017-07,812502364X,9788125023647,196,,,,,
252,Grade 3: Heidi,"['Johanna Spyri, Mary Ann Dasgupta']",Orient Blackswan,2003-01-01,6052942304,9786052942307,108,5,1,,,
253,Heidi - Johanna Spyri (Stage-1),['Johanna Spyri'],Maviçatı Yayınları,2020-01-22,1550352040,9781550352047,80,,,,,
254,Heidi by Johanna Spyri : a Novel Study Unit,['Ruth Solski'],S&S Learning Materials,1990,1530863627,9781530863624,46,,,,,
255,"Heidi, by Johanna Spyri (Author), Translated by Helen B. Dole",['Johanna Spyri'],Createspace Independent Publishing Platform,2016-04-02,1577595467,9781577595465,158,,,,,
256,Heidi,['Jon Sayer'],,2001-11,1614271658,9781614271659,192,2.5,5,,,
257,Heidi a Story for Children and Those That Love Children,['Johanna Spyri'],Martino Fine Books,2011-09-01,1447956419,9781447956419,278,,,,,
260,The Common Sense Book of Baby and Child Care,['Benjamin Spock'],Ishi Press,2013,4871879690,9784871879699,540,,,,,
261,Dr. Spock's The First Two Years,['Benjamin Spock'],Simon and Schuster,2002-02-16,0743431049,9780743431040,176,,,US,10.99,USD
262,Dr. Spock's The School Years,['Benjamin Spock'],Simon and Schuster,2002-02-16,0743431057,9780743431057,304,,,US,15.99,USD
263,Taming the Troublesome Child,['Kathleen W. Jones'],Harvard University Press,1999,0674868110,9780674868113,310,,,,,
264,The Boomer Century 1946-2046,['Richard Croker'],Grand Central Publishing,2009-05-30,0446561428,9780446561426,352,5,1,US,12.99,USD
266,"Dictionary of World Biography: The 20th century, O-Z",['Frank Northen Magill'],Routledge,1999,1579580483,9781579580483,1412,,,,,
267,The Children's Culture Reader,['Henry Jenkins'],NYU Press,1998-10-01,0814742319,9780814742310,532,,,,,
268,America in the 1950s,['Edmund Lindop'],Twenty-First Century Books,2009-09-01,0822576422,9780822576426,144,,,,,
269,The SAGE Encyclopedia of Food Issues,['Ken Albala'],SAGE,2015-05-08,1452243018,9781452243016,1595,,,,,
270,Anne of Green Gables,['Lucy Maud Montgomery'],,1908,0486799212,9780486799216,429,4.5,335,US,,
271,Anne of Green Gables,['L. M. Montgomery'],Courier Corporation,2014-09-29,1989201911,9781989201916,96,5,1,,3,USD
272,Anne of Green Gables,['Lucy Maud Montgomery'],,2020-08-17,0770427448,9780770427443,194,,,US,,
273,Anne of Green Gables,"['Shelley Tanaka', 'Lucy Maud Montgomery']",Seal Books,1998,0486285898,9780486285894,112,,,,,
274,Anne of Green Gables Coloring Book,"['Lucy Maud Montgomery', 'Barbara Steadman']",Courier Corporation,1995,110120303X,9781101203033,48,,,,,
275,"Anne of Green Gables, 100th Anniversary Edition",['L. M. Montgomery'],Penguin,2008-02-21,1545433062,9781545433065,320,4,4,,9.99,USD
276,Anne of Green Gables,['Lucy Maud Lucy Maud Montgomery'],Createspace Independent Publishing Platform,2017-04-19,1678009814,9781678009816,280,4,68,US,,
277,Anne of Green Gables (Esprios Classics),['Lucy Maud Montgomery'],Lulu.com,,1840227591,9781840227598,,,,,,
278,Anne of Green Gables and Anne of Avonlea,"['MONTGOMERY (L., M.)']",Wordsworth Editions,2018-01-15,0448400634,9780448400631,528,4,1,,,
281,Black Beauty,['Anna Sewell'],,1911,1905716419,9781905716418,278,4.5,15,US,,
282,Black Beauty,['Anna Sewell'],Collector's Library,2008,8075839951,9788075839954,238,,,,,
283,BLACK BEAUTY (With Original Illustrations),['Anna Sewell'],e-artnow,2017-07-06,096230722X,9780962307225,245,,,,0.99,USD
284,Black Beauty,"['Quinn Currie', 'Anna Sewell', 'Donna Ryan']",,1990-12,1409569772,9781409569770,118,4,5,US,,
285,The Story of Black Beauty,['Susanna Davidson'],Usborne Publishing Ltd,2013-12-01,014240408X,9780142404089,24,,,,,
286,Anna Sewell's Black Beauty,"['June Brigman', 'Anna Sewell', 'Roy Richardson']",Puffin Books,2005,1512416193,9781512416190,176,3.5,3,,,
287,Black Beauty,"['Ruth Brown', 'Anna Sewell']",,2016-10-01,6020395189,9786020395180,32,4.5,3,,,
288,English Classics: Black Beauty,['Anna Sewell'],Gramedia Pustaka Utama,2018-08-13,1500722995,9781500722999,272,,,,3.67,USD
289,Black Beauty,"['Anna Sewell', 'Classic Good Books']",,2014-08-04,1952433045,9781952433047,196,,,US,,
292,The Name of the Rose,['Umberto Eco'],Houghton Mifflin Harcourt,2014,0544176561,9780544176560,579,3.5,154,,,
293,Reflections on the Name of the Rose,['Umberto Eco'],Vintage,1984,074939627X,9780749396275,84,,,,,
294,Postscript to The Name of the Rose,"['Umberto Eco', 'Professor of Semiotics Umberto Eco']",San Diego : Harcourt Brace Jovanovich,1984,1410353575,9781410353573,84,5,1,,,
295,"A Study Guide for Umberto Eco's ""The Name of the Rose""","['Gale, Cengage Learning']","Gale, Cengage Learning ",2016-06-29,0472086219,9780472086214,27,,,US,3.99,USD
296,"The Key to ""The Name of the Rose""","['Adele J. Haft', 'Jane G. White', 'Robert J. White']",University of Michigan Press,1999,2806273544,9782806273543,194,4,6,,,
302,The Eagle Has Landed,['Jack Higgins'],Penguin UK,1998,0140273344,9780140273342,382,3.5,11,,,
303,The Eagle Has Flown,['Jack Higgins'],Simon and Schuster,1991-11-01,0671746693,9780671746698,336,4,7,,,
304,The Liam Devlin Novels,['Jack Higgins'],Open Road Media,2016-06-28,1504038819,9781504038812,706,,,US,25.99,USD
305,"World War 2 Thriller Collection: Winter, The Eagle Has Flown, South by Java Head","['Len Deighton', 'Jack Higgins', 'Alistair MacLean']",HarperCollins UK,2013-12-12,000756340X,9780007563401,1344,,,US,8.99,USD
306,Dark Side of the Street,['Jack Higgins'],Open Road Media,2010-06-22,1936317338,9781936317332,207,5,1,US,8.99,USD
307,The Graveyard Shift,['Jack Higgins'],Open Road Media,2017-01-03,1504042085,9781504042086,206,,,US,7.99,USD
308,The Savage Day,['Jack Higgins'],Open Road Media,2010-06-22,145320041X,9781453200414,344,4.5,2,US,8.99,USD
309,"Eye of the Storm (Sean Dillon Series, Book 1)",['Jack Higgins'],HarperCollins UK,2012-06-07,0007456034,9780007456031,304,3,4,,,
310,Where the Eagle Landed,['Peter Haining'],Robson Books Limited,2004,1936317389,9781936317387,244,2.5,2,,,
312,Watership Down,['Richard Adams'],Simon and Schuster,2009-07-14,1439176124,9781439176122,496,4.5,299,US,13.99,USD
313,Tales from Watership Down,['Richard Adams'],Vintage,2012-12-11,0307950190,9780307950192,267,3.5,22,,,
314,Watership Down by Richard Adams,['Pat Watson'],,2000,1410336719,9781410336712,28,,,,,
315,A Study Guide for Richard Adams's Watership Down,"['Gale, Cengage Learning']","Gale, Cengage Learning ",2015-09-15,0025002600,9780025002609,15,,,US,3.99,USD
316,The Watership Down Film Picture Book,['Richard Adams'],,1978,1610425758,9781610425759,250,3,1,,,
317,Watership Down,['BookCaps'],BookCaps Study Guides,2012,1534457062,9781534457065,,,,US,3.97,USD
319,Em Busca de Watership Down,['Richard Adams'],Editora Planeta do Brasil,2017-08-04,2277220787,9782277220787,475,,,,,
322,The Hite Report,['Shere Hite'],Seven Stories Press,2011-01-04,1609800354,9781609800352,512,4,1,,,
323,The New Hite Report,['Shere Hite'],,2000,0600601161,9780600601166,667,,,,,
324,"The Hite Report on Love, Passion and Emotional Violence",['Shere Hite'],,1991,0356201295,9780356201290,922,,,,,
325,The Hite Report on Shere Hite,['Shere Hite'],Arcadia Books,2000-01,1900850524,9781900850520,327,,,,,
326,The Hite Report on Women Loving Women,['Shere Hite'],Arcadia Books Limited,2007,1909807516,9781909807518,213,,,,,
327,The Hite Report on Male Sexuality,['Shere Hite'],,2014-03,0802134513,9780802134516,1162,5,1,,,
328,The Hite Report on the Family,['Shere Hite'],Grove Press,1996-04,1609800362,9781609800369,424,,,,,
332,Charlotte's Web,['E. B. White'],HarperCollins,2015-03-17,0062406787,9780062406781,192,4.5,19,US,6.99,USD
333,Charlotte's Web,['Elwyn Brooks White'],VCTA,1952,0333294882,9780333294888,174,4,3850,,,
334,Charlotte's Web Read-Aloud Edition,"['E. B. White', 'Kate DiCamillo']",HarperCollins,2006-10-31,0060882611,9780060882617,192,4,19,,,
335,Charlotte's Web Signature Edition,['E. B. White'],HarperCollins,2006-10-31,0061127760,9780061127762,224,,,,,
336,Charlotte's Web: A Harper Classic,"['E. B. White', 'Kate DiCamillo']",HarperCollins,2017-10-24,0062658751,9780062658753,208,,,,,
337,The Annotated Charlotte's Web,['E. B. White'],HarperCollins,2006-10-31,0060882603,9780060882600,320,,,,,
338,Charlotte's Web Movie Tie-in Edition (rack),['E. B. White'],HarperEntertainment,2006-11-01,0061228745,9780061228742,192,4.5,4,,,
339,Charlotte's Web 50th Anniversary Retrospective Edition,['E. B. White'],HarperCollins,2002-05-01,0060006986,9780060006983,224,4.5,13,,,
340,Charlotte's Web Book and Charm,"['E. B. White', 'Kate DiCamillo']",Festival,2003-06-03,006052779X,9780060527792,184,3,1,,,
341,The Story of Charlotte's Web,['Michael Sims'],A&C Black,2011-07-04,1408823063,9781408823064,320,4.5,14,,,
342,The Ginger Man,['J. P. Donleavy'],Open Road + Grove/Atlantic,2010-07-01,0802198163,9780802198167,368,3.5,10,US,9.99,USD
344,The Ginger Man,['James Patrick Donleavy'],Astor-Honor Incorporated,1958,083921037X,9780839210375,381,3.5,10,,,
345,The History of The Ginger Man,['James Patrick Donleavy'],,1994,1843517477,9781843517474,517,,,,,
346,The Ginger Man Letters,['James Patrick Donleavy'],,2018,143814069X,9781438140698,396,,,,,
347,Encyclopedia of the American Novel,"['Abby H. P. Werlock', 'James P. Werlock']",Infobase Learning,2015-04-22,1851096140,9781851096145,,,,,,
348,Ireland and the Americas,"['James Patrick Byrne', 'Philip Coleman', 'Jason Francis King']",ABC-CLIO,2008,1611459311,9781611459319,967,3,1,US,270,USD
349,The Life and Ideas of James Hillman,['Dick Russell'],Skyhorse,2013-05-09,080219818X,9780802198181,704,,,US,20.99,USD
353,The Tale of Peter Rabbit,['Beatrix Potter'],Warne,2004,0448435217,9780448435213,32,5,1,,,
354,THE TALE OF PETER RABBIT (With Complete Original Illustrations),['Beatrix Potter'],e-artnow,2016-05-30,8026864565,9788026864561,59,,,,0.99,USD
355,The Tale of Peter Rabbit: by Beatrix Potter,['Beatrix Potter'],OBG Classics,2018-01-10,2378980302,9782378980306,15,,,US,0.49,USD
356,The Illustrated Tale of Peter Rabbit,"['Graphic Ebooks', 'Beatrix Potter']",BookCaps Study Guides,2011,1610427319,9781610427319,,1,1,US,3.97,USD
357,The Tale of Peter Rabbit By,['Beatrix Potter'],,2020-05-18,0486217116,9798646882951,30,,,US,,
358,The Tale of Peter Rabbit Coloring Book,['Beatrix Potter'],Courier Corporation,1971-01-01,0723273405,9780486217116,31,5,1,,,
359,The Tale of Peter Rabbit - Read It Yourself with Ladybird,['Beatrix Potter'],Penguin UK,2013-07-04,0723263299,9780723273400,32,,,,7.04,USD
360,The Tale of Peter Rabbit and Benjamin Bunny,['Beatrix Potter'],Frederick Warne Publishers,2008,1987416473,9780723263296,16,,,US,,
363,Jonathan Livingston Seagull,['Richard Bach'],Simon and Schuster,2014-10-21,147679331X,9781476793313,144,3.5,70,,,
364,Jonathan Livingston Seagull,['Richard Bach'],Pan,1973,0330236474,9780330236478,93,3.5,69,,,
365,Jonathan Livingston Seagull: A story,['Richard Bach'],HarperCollins UK,2015-09-17,0008162980,9780008162986,144,3,65,,,
366,Jonathan Livingstone Seagull,['Richard Bach'],HarperElement,2003-08,0007165633,9780007165636,93,,,,,
368,Jonathan Livingston su cau (Jonathan Livingston Seagull). Testo sardo,['Richard Bach'],,2008,887356125X,9788873561255,64,,,,,
369,Jonathan Livingston le goéland,['Richard Bach'],J'Ai Lu,2007,2290215627,9782290215623,123,,,,,
371,Série unique 867 Jonathan Livingston le goéland,['Richard Bach'],,2010,2081242095,9782081242098,105,,,,,
372,Jonathan Behind Blue Eyes,['Mike Dacy'],BalboaPress,2012-10-27,145255675X,9781452556758,482,5,1,US,4.99,USD
373,The Very Hungry Caterpillar,['Eric Carle'],Philomel Books,2018-10-09,0525516190,9780525516194,40,3.5,3,,,
374,Thanks from The Very Hungry Caterpillar,['Eric Carle'],Penguin,2020-08-18,0593384334,9780593384336,32,,,US,8.99,USD
375,Can You Guess?: Animals with the Very Hungry Caterpillar,['Eric Carle'],World of Eric Carle,2020-02-04,1524786365,9781524786366,14,,,,,
376,Love from the Very Hungry Caterpillar,['Eric Carle'],Grosset & Dunlap,2015,0448489325,9780448489322,32,,,,,
378,Can You Guess?: Food with the Very Hungry Caterpillar,['Eric Carle'],World of Eric Carle,2020-02-04,1524786373,9781524786373,14,,,,,
379,The Very Hungry Caterpillar's 8 Nights of Chanukah,['Eric Carle'],World of Eric Carle,2020-10-13,0593226089,9780593226087,16,,,,,
380,Where Is the Very Hungry Caterpillar?,['Eric Carle'],World of Eric Carle,2020-02-04,1524786322,9781524786328,10,,,,,
381,I Love Dad with the Very Hungry Caterpillar,['Eric Carle'],Grosset & Dunlap,2018,152478589X,9781524785895,32,,,,,
382,Calm with the Very Hungry Caterpillar,['Eric Carle'],World of Eric Carle,2019,1524792187,9781524792183,32,5,1,,,
383,A Message to Garcia,['Elbert Hubbard'],,1899,1420955233,9781420955231,11,4,5,US,,
384,A Message to Garcia and Thirteen Other Things,['Elbert Hubbard'],,1901,0343147750,9780343147754,166,,,,,
385,A Message to Garcia and Other Works,['Elbert Hubbard'],,2017-05,0486827674,9780486827674,56,,,US,,
386,A Message to Garcia,['Elbert Hubbard'],Franklin Classics,2018-10-15,1794273727,9781794273726,28,,,,,
387,A Message to Garcia and Other Writings,['Elbert Hubbard'],Courier Dover Publications,2018-09-12,0353014435,9780353014435,128,,,,,
388,A Message to Garcia and Selected Essays of Elbert Hubbard,['Elbert Hubbard'],Independently Published,2019-01-17,1557094519,9781557094513,78,,,,,
389,A Message to Garcia; Being a Preachment,"['Elbert Hubbard', 'H. H. Fmo Charles', 'F. Ins Bacon']",Franklin Classics Trade Press,2018-11-10,1297217535,9781297217531,22,,,,,
395,To Kill a Mockingbird,['Harper Lee'],Dramatic Publishing,1970,0871299208,9780871299208,80,4,134,,,
396,Harper Lee's To Kill a Mockingbird,"['Harold Bloom', 'Harper Lee']",Infobase Publishing,2010,1438132735,9781438132730,109,4,12,,,
397,Harper Lee's To Kill a Mockingbird,['Harold Bloom'],Infobase Publishing,2009-01-01,143811429X,9781438114293,205,5,2,,,
399,To Kill a Mockingbird LP,['Harper Lee'],Harper Collins,2010-05-11,0061980269,9780061980268,480,4.5,37,,,
400,Harper Lee's To Kill a Mockingbird,['Catriona Mills'],Insight Publications,2011-08,1921411686,9781921411687,72,,,US,7.95,USD
401,Harper Lee's To Kill a Mockingbird,['Mei Chin'],Infobase Publishing,2009,1438114850,9781438114859,99,,,,,
402,The Play of To Kill a Mockingbird,"['Harper Lee', 'Christopher Sergel']",Heinemann,1995,0435233114,9780435233112,116,4,1,,,
403,Harper Lee's To Kill a Mockingbird,['Michael J. Meyer'],Scarecrow Press,2010-10-14,0810877236,9780810877238,290,3.5,15,,,
404,To Kill a Mockingbird (Enhanced Edition),['Harper Lee'],Harper Collins,2014-11-04,0062369636,9780062369635,336,4,4,US,10.99,USD
405,Flowers In The Attic,['V.C. Andrews'],Simon and Schuster,2011-02-08,1451636946,9781451636949,416,5,7,US,11.99,USD
406,Flowers in the Attic,['Virginia Andrews'],HarperTorch,2011-09-01,0007436823,9780007436828,423,3.5,83,,,
407,Flowers in the Attic: A Stage Play,['V.C. Andrews'],Simon and Schuster,2014-10-28,1501103954,9781501103957,80,,,US,0.99,USD
408,Flowers in the Attic/Petals on the Wind,['V.C. Andrews'],Simon and Schuster,2009-11-10,1442403012,9781442403017,828,4,11,,,
409,The Flowers in the Attic Series: The Dollangangers,['V.C. Andrews'],Simon and Schuster,2012-12-17,1476704171,9781476704173,1500,,,US,30.99,USD
410,QBD Flowers in the Attic,['Virginia Andrews'],,2016-06-01,0007956371,9780007956371,,,,,,
411,Flowers in the Attic/Petals on the Wind/If There Be Thorns/Seeds of Yesterday,['V. C. Andrews'],,1991-08-01,0671967800,9780671967802,,,,,,
412,Flowers in the Attic,['Virginia Andrews'],,2001,1448731925,9781448731923,,3.5,85,,,
415,Cosmos,['Carl Sagan'],Ballantine Books,2013,0345539435,9780345539434,396,4.5,1686,,,
417,"A reader-study guide for Cosmos, Carl Sagan","['Ann Elwood', 'Linda Wood', 'Carl Sagan']",,1980,0394325974,9780394325972,278,,,,,
418,Carl Sagan: Celebrated Cosmos Scholar,['Rebecca Felix'],Checkerboard Library,2018-12-15,1532159897,9781532159893,32,,,,,
419,Cosmos,['Grant-grey P. H. Guda'],CreateSpace,2014-04-25,1499252048,9781499252040,702,,,,,
420,Selected from Cosmos,['Carl Sagan'],Literacy Volunteers of,1993,1568530005,9781568530000,63,,,,,
421,Cosmos B S/Wx12,['Carl Sagan'],Orbit Books,1996-09-19,0351314210,9780351314216,,,,,,
422,Resumen Completo: Cosmos - Basado En El Libro De Carl Sagan,['Libros Maestros'],Libros Maestros,2019-12-03,3967241653,9783967241655,26,,,US,3.99,USD
423,Cosmos Possible Worlds,['Ann Druyan'],National Geographic,2020-02-20,1426219083,9781426219085,384,5,1,,,
424,Cosmos,['Ann Druyan'],Hachette Pratique,2020-03-11,2017095885,9782017095880,384,,,US,18.99,USD
425,Sophie's World,['Jostein Gaarder'],"Farrar, Straus and Giroux",2007-03-20,1466804270,9781466804272,544,3.5,1820,US,9.99,USD
426,Sophie's World - Teacher's Guide,['Jostein Gaarder'],"Farrar, Straus and Giroux",2007-05-01,0374975272,9780374975272,8,,,,,
427,Archer's Angels,['Tina Leonard'],Harlequin,2015-08-17,1460393392,9781460393390,299,3,1,US,4.99,USD
429,Democracy's Angels,['Kristina R. Llewellyn'],McGill-Queen's Press - MQUP,2012-09-01,0773586954,9780773586956,208,,,US,95,USD
430,Angels in Vietnam: Women Who Served,['Jan Hornung'],iUniverse,2002,0595240909,9780595240906,368,,,,,
432,Angels & Demons,['Dan Brown'],Simon and Schuster,2006,1416528652,9781416528654,572,4,674,,,
433,Angels A to Z,"['Evelyn Dorothy Oliver', 'James R Lewis']",Visible Ink Press,2008-05-01,1578592577,9781578592579,432,,,US,19.99,USD
434,"""Where Angels Fear to Tread,""",['Morgan Robertson'],[New York] : McClure's magazine and Metropolitan magazine,1899,1611921465,9781611921465,248,,,US,,
439,Kane and Abel,['Jeffrey Archer'],Government Printing Office,2009-11,0330513028,9780330513029,645,4,35,,,
440,Kane & Abel,['Jeffrey Archer'],Simon & Schuster,1980,0312366868,9780312366865,540,5,1,,,
441,Kane & Abel (40th Anniversary Edition),['Jeffrey Archer'],,2018,1743290225,9781743290224,643,,,,,
442,Kane and Abel and Sons of Fortune T,"['Anonimo', 'Jeffrey Archer']",Picador,2006-09-05,1429993723,9781429993722,1104,,,,,
443,The Prodigal Daughter: Kane and Abel Book 2,['Jeffrey Archer'],Pan,2003-09-01,6073117485,9786073117487,200,4,1,,,
444,Kane and Abel/Sons of Fortune,['Jeffrey Archer'],St. Martin's Griffin,2006-09-05,871198676X,9788711986769,1104,5,1,US,9.99,USD
445,Kane y Abel,['Jeffrey Archer'],Debolsillo,2013-06-01,1743290209,9781743290200,,5,1,,,
446,Kane og Abel,['Jeffrey Archer'],Lindhardt og Ringhof,2020-05-01,8375100978,9788375100976,660,,,US,19.01,USD
449,How The Steel Was Tempered - 1,['Nikolai Ostrovsky'],SHARDA PRAKASHAN,,938088768X,9789380887685,198,,,US,2.05,USD
450,How the Steel Was Tempered,['Nikolai Ostrovsky'],BookRix,,3736813759,9783736813755,,5,1,,,
451,How the Steel was Tempered,['Nikolay Ostrovsky'],,1952,9380887698,9789380887692,330,4,1,,,
452,How The Steel Was Tempered - 2,['Nikolai Ostrovsky'],SHARDA PRAKASHAN,,7530144448,9787530144442,228,,,US,2.39,USD
453,How the Steel Was Tempered. Part 01,['Nikolai Ostrovsky'],,1959,1635573807,9781635573800,,,,,,
454,How The Steel Was Tempered,['Nikolai|Zhenxu Ostrovsky (Qiao)'],,2016,9896224889,9789896224882,,,,,,
459,War and peace,['graf Leo Tolstoy'],,1898,1400079985,9781400079988,,4,157,US,,
460,War and Peace,['graf Leo Tolstoy'],Vintage,2008,1904633854,9781904633853,1273,4,168,,,
461,War and Peace,['Leo Tolstoy'],Collector's Library,2004,1434419991,9781434419996,1632,4.5,2,,,
462,War and Peace Vol. 5 &6,"['Leo Nikolayevich Tolstoy', 'Leo Tolstoi']",Wildside Press LLC,2010-06-01,1434419983,9781434419989,640,3,1,,13.77,USD
463,War and Peace Vol. 3 & 4,"['Leo Nikolayevich Tolstoy', 'Leo Tolstoy']",Wildside Press LLC,2010-06-01,046000526X,9780460005265,662,,,US,13.77,USD
464,War and Peace,"['Lev Nikolajevič Tolstoj', 'graf Leo Tolstoy']",J M Dent & Sons Limited,1976,8087664396,9788087664391,,4,7,US,,
465,War and Peace (Maude translation),['Leo Tolstoy'],e-artnow,2012-12-13,1986584526,9781986584524,1456,4,6,,0.99,USD
471,The Diary of Anne Frank,['Anne Frank'],Pan,1954,0330107372,9780330107372,223,4,12,,,
472,Reading the Diary of Anne Frank,['Neil Heims'],Infobase Publishing,2006-01-01,1438123248,9781438123240,81,,,,,
473,Anne Frank's The Diary of Anne Frank,['Harold Bloom'],Infobase Publishing,2010,1604138688,9781604138689,182,5,1,,,
475,The Play of the Diary of Anne Frank,"['Frances Goodrich', 'Albert Hackett']",Heinemann,1995,0435233149,9780435233143,154,3.5,2,,,
476,The Diary of Anne Frank,"['Frances Goodrich', 'Albert Hackett', 'Wendy Ann Kesselman']",Dramatists Play Service Inc,2000,082221718X,9780822217183,70,4,18,,,
477,The World of Anne Frank,['Betty Merti'],Walch Publishing,1998,0825137365,9780825137365,146,5,2,,,
478,Understanding Anne Frank's The Diary of a Young Girl,['Hedda Rosner Kopf'],Greenwood Publishing Group,1997,0313296073,9780313296079,272,,,US,51.95,USD
479,Teaching the Diary of Anne Frank,['Susan Moger'],Scholastic Inc.,1999-02,059067482X,9780590674829,64,,,,,
480,Anne Frank: A Light in the Dark,['Tamara Hollingsworth'],Teacher Created Materials,2012-09-01,1433348659,9781433348655,48,,,,,
481,Your Erroneous Zones,['Wayne W. Dyer'],Harper Collins,2009-03-17,0061852007,9780061852008,256,4,11,US,8.99,USD
482,"Summary Of ""Your Erroneous Zones: A Step By Step Advice For Escaping The Trap Of Negative Thinking And Taking Control Of Your Life - By Wayne Dyer""",['Sapiens Editorial'],Sapiens Editorial,2017-12-16,3963611537,9783963611537,29,,,US,3.99,USD
483,Tus zonas erróneas,['Wayne W. Dyer'],,2005,8497593936,9788497593939,320,5,2,,,
484,What Do You Really Want for Your Children?,['Wayne W. Dyer'],Harper Collins,2010-08-24,006201319X,9780062013194,480,,,US,7.49,USD
485,Your Sacred Self,['Wayne W. Dyer'],Harper Collins,2009-10-13,006186482X,9780061864827,400,5,3,US,6.99,USD
486,Manifest Your Destiny,['Wayne W. Dyer'],Harper Collins,2009-10-13,0061863378,9780061863370,192,3.5,4,US,8.99,USD
487,Resumo Estendido De Seus Pontos Fracos (Your Erroneous Zones) - Baseado No Livro De Wayne Dyer,['Mentors Library'],Mentors Library,2018-12-27,3965084585,9783965084582,28,,,US,4.99,USD
488,Taming Your Ego,['Wayne W. Dyer'],HarperCollins Publishers,1909-09,0061092681,9780061092688,,,,,,
489,Creating Your World the Way You Really Want It to Be,"['Wayne Dyer', 'Deepak Chopra']",Hay House Audio,2002-03,1401900356,9781401900359,6,,,,,
490,101 Ways to Transform Your Life,['Wayne W. Dyer'],Hay House Incorporated,1998-06-01,1561704938,9781561704934,112,,,,,
491,The Thorn Birds,['Colleen McCullough'],Virago Press,2007,1844084477,9781844084470,573,4,66,,,
492,The Thornbirds. Part 1,['Colleen McCullough'],,1983,0743214684,9780743214681,,,,,,
493,"THE THORN BIRDS (LARGE PRINT, 2 VOLUMES).",['COLLEEN. MCCULLOUGH'],,,1286798035,9781286798034,,,,,,
494,The Touch,['Colleen McCullough'],Simon and Schuster,2003-11-25,0732293243,9780732293246,464,3,3,US,7.99,USD
495,"The Essential Writer's Guide: Spotlight on Colleen McCullough, Including Her Education, Analysis of Her Best Sellers Such as the Thorn Birds, an Ind",['Gaby Alez'],,2012-05,0063019787,9780063019782,182,,,,,
496,The Prodigal Son,['Colleen McCullough'],,2013,0063019795,9780063019799,400,4,1,,,
497,A Creed for the Third Millennium,['Colleen McCullough'],HarperCollins,2020-05-05,1784082155,9781784082154,464,3,3,US,6.99,USD
498,The First Man in Rome,['Colleen McCullough'],HarperCollins,2020-04-07,0879728213,9780879728212,1152,4,24,US,10.99,USD
501,The Purpose Driven Life Dvd Study Guide,['Rick Warren'],Harper Collins,2007-02-01,031027866X,9780310278665,77,4.5,7,,,
502,The Purpose Driven Life 100 Illustrated Devotions for Children,['Rick Warren'],Zonderkidz,2019-04-02,0310766885,9780310766889,208,,,US,4.99,USD
503,The Purpose Driven Life Devotional for Kids,['Rick Warren'],Zonderkidz,2015-10-06,0310750458,9780310750451,384,,,US,6.99,USD
504,Daily Inspiration for the Purpose Driven Life,['Rick Warren'],Zondervan,2010-10-05,0310865964,9780310865964,288,4,10,US,2.99,USD
505,The Purpose-driven Life,['Richard Warren'],Zondervan,2003-06-06,0310255252,9780310255253,426,3.5,3012,,,
506,Daybreak the Purpose-driven Life,['Rick Warren'],,2004-10-01,0310803896,9780310803898,368,,,,,
507,The Purpose Driven Life,['Rick Warren'],,2016-06-14,0310347556,9780310347552,368,4.5,176,,,
508,Rick Warren and the Purpose that Drives Him,['Richard Abanes'],Harvest House Publishers,2005,0736917381,9780736917384,142,,,,,
509,The Purpose Driven Life (Enhanced Edition),"['Zondervan,']",Harper Collins,2011-01-26,0310332931,9780310332930,336,4.5,12,,,
510,"Summary Of ""The Purpose Driven Life: What On Earth Am I Here For? - By Rick Warren""",['Sapiens Editorial'],Sapiens Editorial,2017-09-13,3962552448,9783962552442,42,,,US,2.99,USD
511,The Kite Runner,['Khaled Hosseini'],Bloomsbury Publishing,2004,0747573395,9780747573395,340,4,3464,,,
512,A Study Guide for Khaled Hosseini's The Kite Runner,"['Gale, Cengage Learning']","Gale, Cengage Learning ",2015-03-13,1410320421,9781410320421,15,,,US,3.99,USD
513,The Kite Runner Graphic Novel,['Khaled Hosseini'],Penguin,2011-09-06,1101666226,9781101666227,136,4.5,7,US,15.99,USD
514,The Kite Runner (Play Script),['Matthew Spangler'],Penguin,2018-02-06,0525534466,9780525534464,144,,,US,5.99,USD
515,"Bookclub-in-a-Box Discusses Khaled Hosseini's novel, The Kite Runner",['Marilyn Herbert'],Bookclub-in-a-Box,2011-03-25,1897082738,9781897082737,86,,,,,
516,The Kite Runner (new),['Khaled Hosseini'],Qanita,2008-02-01,9793269758,9789793269757,496,,,US,3.06,USD
517,The Kite Runner by Khaled Hosseini (Book Analysis),['Bright Summaries'],BrightSummaries.com,2015-12-07,2806271142,9782806271143,24,,,,,
518,Khaled Hosseini's The Kite Runner,['Harold Bloom'],Chelsea House,2009-01-01,1604131993,9781604131994,91,,,,,
520,Khaled Hosseini's The Kite Runner,['Maude Ashton'],,2005,1921088079,9781921088070,58,,,,,
521,Valley of the Dolls,['Jacqueline Susann'],Grove Press,2007-12,0802198880,9780802198884,448,3.5,74,,,
