,Book_Title,Author,Publisher,Published_Date,ISBN_10,ISBN_13,Page_Count,Average_Rating,Rating_Count,Sale_Country,Sale_Amount,Sale_Currency
55,And Then There Were None Teaching Guide,"['Agatha Christie', 'Amy Jurskis']",HarperCollins,2017-04-18,0062696262,9780062696267,,5,1,US,0,USD
56,And Then There Were None (Harper),['Agatha Christie'],,2011,0062247697,9780062247698,300,,,,,
57,And Then There Were None by Agatha Christie (Book Analysis),['Bright Summaries'],BrightSummaries.com,2017-05-24,2806295645,9782806295644,33,,,,,
58,"A Study Guide for Agatha Christie's ""Ten Little Indians (aka And Then There Were None)""","['Gale, Cengage Learning']",Gale Cengage Learning,2016-07-12,1410360156,9781410360151,20,,,US,3.99,USD
59,And Then There Were None,"['Susan R Woodward', ""Teacher's Pet Publications""]",,2008,1602490309,9781602490307,194,,,,,
60,And Then There Were None,"['François Rivière', 'Agatha Christie', 'Frank Leclercq']",HarperCollins UK,2009,0007275323,9780007275328,46,,,,,
61,And Then There Were None,['Total Class Notes'],Total Class Notes,2012-02-01,1105493199,9781105493195,25,5,2,US,2.99,USD
62,The Secret Adversary & And Then There Were None Bundle,['Agatha Christie'],HarperCollins,2020-05-05,0063036622,9780063036628,,,,US,7.99,USD
63,Dream of the Red Chamber,['Cao Xueqin'],The Floating Press,2009-12-01,1775416747,9781775416746,2119,4,1,US,5.99,USD
64,The Dream of the Red Chamber,['Cao Xueqin'],Open Road Media,2020-07-28,1504064194,9781504064194,766,,,US,2.99,USD
65,The Dream of the Red Chamber,['Xueqin Cao'],,1958,1468187619,9781468187618,574,3,3,,,
66,Dream of the Red Chamber,"['Cao Xueqin', 'H. Bencraft Joly', 'Alex Struik']",CreateSpace,2012-01-07,1621968367,9781621968368,496,,,,,
68,The Dream of the Red Chamber,['Jeannie Jinsheng Yi'],Homa & Sekey Books,2004,1465513140,9781465513144,244,,,,,
69,"Hung Lou Meng, Or, the Dream of the Red Chamber: A Chinese Novel (Complete)",['Cao (Xueqin)'],Library of Alexandria,2006,1420938665,9781420938661,582,,,US,4.99,USD
70,The Dream of the Red Chamber (Abridged),['Cao Xueqin'],Digireads.com Publishing,2010-01-01,3748171315,9783748171317,416,,,,,
71,The Dream of the Red Chamber,['Cao Xueqin'],BoD – Books on Demand,2019-01-08,1511656271,9781511656276,682,,,,,
74,"The Lion, the Witch and the Wardrobe",['Clive Staples Lewis'],Collins,1991,0001831526,9780001831520,174,4.5,32,,,
75,"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",['C. S. Lewis'],HarperFestival,2005-10-25,0060765488,9780060765484,224,4.5,173,,,
77,"The Lion, the Witch and the Wardrobe (Annotated)",['C. s. Lewis'],,2018-02-25,1980395802,9781980395805,100,4,3043,,,
78,"The Lion, the Witch and the Wardrobe (Large Print)",['C. S. Lewis'],HarperCollins,2002-04-16,0060082402,9780060082406,192,4.5,34,,,
79,"The Lion, the Witch and the Wardrobe (picture book edition)",['C. S. Lewis'],Harper Collins,2004-09-21,0060556501,9780060556501,48,3.5,5,,,
80,The Chronicles of Narnia:,['C. S. Lewis'],Independently Published,2018-11-27,1790418054,9781790418053,107,5,3,,,
81,"The Lion, the Witch and the Wardrobe",['Adrian Mitchell'],Theatre Communications Group,1998,1840020490,9781840020496,107,,,,,
82,"The Lion, the Witch and the Wardrobe Board Book",['C.s. Lewis'],HarperFestival,2021-02-02,0062988778,9780062988775,32,,,,,
83,She,['H. Rider Haggard'],Barnes & Noble Publishing,2004,0760752400,9780760752401,305,,,,,
84,She,['Henry Rider Haggard'],,1896,5521065946,9798680216057,310,3.5,31,US,,
95,The Adventures of Pinocchio,['C. Collodi'],"Lulu Press, Inc",2013-12-29,1471748251,9781471748257,,,,US,4.99,USD
96,The Adventures of Pinocchio,['Carlo Collodi'],The Creative Company,2005,1568461909,9781568461908,191,4,1,,,
97,The Adventures of Pinocchio,['Helen Rossendale'],Pavilion Children's Books,2004,1844581403,9781844581405,96,,,,,
98,"The Story of a Puppet, Or, The Adventures of Pinocchio",['Carlo Collodi'],,1892,6052942983,9786052942987,232,5,1,US,,
99,The Adventures of Pinocchio (Illustrated Edition),['Carlo Collodi'],e-artnow,2019-07-03,1610427920,9781610427920,134,,,,0.99,USD
